Border,Date,Measure,Value,Average
US-Mexico Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,24880342,27938387
US-Mexico Border,12/01/2019 12:00:00 AM,Personal Vehicles,12758474,13045415
US-Mexico Border,12/01/2019 12:00:00 AM,Pedestrians,9062244,7417108
US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,7746560,10985997
US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicles,3984952,5265583
US-Mexico Border,12/01/2019 12:00:00 AM,Trucks,954222,806292
US-Canada Border,12/01/2019 12:00:00 AM,Trucks,835466,1018622
US-Mexico Border,12/01/2019 12:00:00 AM,Truck Containers Full,707768,515061
US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Full,656638,763058
US-Mexico Border,12/01/2019 12:00:00 AM,Bus Passengers,390476,484060
US-Canada Border,12/01/2019 12:00:00 AM,Rail Containers Full,333664,221191
US-Mexico Border,12/01/2019 12:00:00 AM,Truck Containers Empty,259532,282715
US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Empty,205606,178627
US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,149552,527712
US-Canada Border,12/01/2019 12:00:00 AM,Rail Containers Empty,121750,89624
US-Mexico Border,12/01/2019 12:00:00 AM,Rail Containers Empty,99582,64145
US-Mexico Border,12/01/2019 12:00:00 AM,Rail Containers Full,75012,56916
US-Canada Border,12/01/2019 12:00:00 AM,Pedestrians,44754,93549
US-Mexico Border,12/01/2019 12:00:00 AM,Buses,29294,38671
US-Canada Border,12/01/2019 12:00:00 AM,Train Passengers,27436,42822
US-Canada Border,12/01/2019 12:00:00 AM,Buses,6344,21985
US-Canada Border,12/01/2019 12:00:00 AM,Trains,3548,4978
US-Mexico Border,12/01/2019 12:00:00 AM,Trains,1826,1468
US-Mexico Border,12/01/2019 12:00:00 AM,Train Passengers,1414,2050
US-Mexico Border,11/01/2019 12:00:00 AM,Personal Vehicle Passengers,22660060,27956843
US-Mexico Border,11/01/2019 12:00:00 AM,Personal Vehicles,12039868,13048931
US-Mexico Border,11/01/2019 12:00:00 AM,Pedestrians,8358510,7413817
US-Canada Border,11/01/2019 12:00:00 AM,Personal Vehicle Passengers,7100494,10999582
US-Canada Border,11/01/2019 12:00:00 AM,Personal Vehicles,3858704,5270502
US-Mexico Border,11/01/2019 12:00:00 AM,Trucks,1036168,805488
US-Canada Border,11/01/2019 12:00:00 AM,Trucks,910768,1018999
US-Mexico Border,11/01/2019 12:00:00 AM,Truck Containers Full,772142,514162
US-Canada Border,11/01/2019 12:00:00 AM,Truck Containers Full,712938,763233
US-Canada Border,11/01/2019 12:00:00 AM,Rail Containers Full,320794,220843
US-Mexico Border,11/01/2019 12:00:00 AM,Bus Passengers,288038,484745
US-Mexico Border,11/01/2019 12:00:00 AM,Truck Containers Empty,277714,282732
US-Canada Border,11/01/2019 12:00:00 AM,Truck Containers Empty,225336,178463
US-Canada Border,11/01/2019 12:00:00 AM,Bus Passengers,193160,528882
US-Canada Border,11/01/2019 12:00:00 AM,Rail Containers Empty,121908,89511
US-Mexico Border,11/01/2019 12:00:00 AM,Rail Containers Empty,100162,64019
US-Mexico Border,11/01/2019 12:00:00 AM,Rail Containers Full,79278,56838
US-Canada Border,11/01/2019 12:00:00 AM,Pedestrians,49148,93704
US-Canada Border,11/01/2019 12:00:00 AM,Train Passengers,21654,42896
US-Mexico Border,11/01/2019 12:00:00 AM,Buses,19832,38737
US-Canada Border,11/01/2019 12:00:00 AM,Buses,9300,22030
US-Canada Border,11/01/2019 12:00:00 AM,Trains,3566,4983
US-Mexico Border,11/01/2019 12:00:00 AM,Trains,1868,1467
US-Mexico Border,11/01/2019 12:00:00 AM,Train Passengers,1578,2052
US-Mexico Border,10/01/2019 12:00:00 AM,Personal Vehicle Passengers,22870974,27974688
US-Mexico Border,10/01/2019 12:00:00 AM,Personal Vehicles,12582832,13050566
US-Mexico Border,10/01/2019 12:00:00 AM,Pedestrians,8282206,7410770
US-Canada Border,10/01/2019 12:00:00 AM,Personal Vehicle Passengers,8100768,11009754
US-Canada Border,10/01/2019 12:00:00 AM,Personal Vehicles,4447258,5273391
US-Mexico Border,10/01/2019 12:00:00 AM,Trucks,1148156,804285
US-Canada Border,10/01/2019 12:00:00 AM,Trucks,1003858,1019052
US-Mexico Border,10/01/2019 12:00:00 AM,Truck Containers Full,849042,512987
US-Canada Border,10/01/2019 12:00:00 AM,Truck Containers Full,791276,763135
US-Canada Border,10/01/2019 12:00:00 AM,Rail Containers Full,322508,220486
US-Mexico Border,10/01/2019 12:00:00 AM,Truck Containers Empty,316610,282614
US-Canada Border,10/01/2019 12:00:00 AM,Bus Passengers,293864,529706
US-Mexico Border,10/01/2019 12:00:00 AM,Bus Passengers,291216,485424
US-Canada Border,10/01/2019 12:00:00 AM,Truck Containers Empty,242062,178240
US-Canada Border,10/01/2019 12:00:00 AM,Rail Containers Empty,123030,89393
US-Mexico Border,10/01/2019 12:00:00 AM,Rail Containers Empty,107034,63868
US-Canada Border,10/01/2019 12:00:00 AM,Pedestrians,92730,93707
US-Mexico Border,10/01/2019 12:00:00 AM,Rail Containers Full,81348,56752
US-Canada Border,10/01/2019 12:00:00 AM,Train Passengers,32966,42931
US-Mexico Border,10/01/2019 12:00:00 AM,Buses,24496,38787
US-Canada Border,10/01/2019 12:00:00 AM,Buses,12632,22063
US-Canada Border,10/01/2019 12:00:00 AM,Trains,3874,4987
US-Mexico Border,10/01/2019 12:00:00 AM,Trains,1930,1465
US-Mexico Border,10/01/2019 12:00:00 AM,Train Passengers,1620,2053
US-Mexico Border,09/01/2019 12:00:00 AM,Personal Vehicle Passengers,22381144,27994384
US-Mexico Border,09/01/2019 12:00:00 AM,Personal Vehicles,12079110,13053987
US-Canada Border,09/01/2019 12:00:00 AM,Personal Vehicle Passengers,8569652,11018346
US-Mexico Border,09/01/2019 12:00:00 AM,Pedestrians,7966266,7408814
US-Canada Border,09/01/2019 12:00:00 AM,Personal Vehicles,4629456,5275658
US-Mexico Border,09/01/2019 12:00:00 AM,Trucks,1028514,803496
US-Canada Border,09/01/2019 12:00:00 AM,Trucks,964294,1019245
US-Mexico Border,09/01/2019 12:00:00 AM,Truck Containers Full,757502,512126
US-Canada Border,09/01/2019 12:00:00 AM,Truck Containers Full,757300,763155
US-Canada Border,09/01/2019 12:00:00 AM,Bus Passengers,343934,530360
US-Canada Border,09/01/2019 12:00:00 AM,Rail Containers Full,321484,220131
US-Mexico Border,09/01/2019 12:00:00 AM,Bus Passengers,297370,486087
US-Mexico Border,09/01/2019 12:00:00 AM,Truck Containers Empty,285784,282602
US-Canada Border,09/01/2019 12:00:00 AM,Truck Containers Empty,236332,178036
US-Canada Border,09/01/2019 12:00:00 AM,Rail Containers Empty,129582,89252
US-Canada Border,09/01/2019 12:00:00 AM,Pedestrians,116956,93625
US-Mexico Border,09/01/2019 12:00:00 AM,Rail Containers Empty,101450,63735
US-Mexico Border,09/01/2019 12:00:00 AM,Rail Containers Full,83064,56659
US-Canada Border,09/01/2019 12:00:00 AM,Train Passengers,54334,42891
US-Mexico Border,09/01/2019 12:00:00 AM,Buses,24524,38837
US-Canada Border,09/01/2019 12:00:00 AM,Buses,14844,22088
US-Canada Border,09/01/2019 12:00:00 AM,Trains,3724,4991
US-Mexico Border,09/01/2019 12:00:00 AM,Trains,1958,1464
US-Mexico Border,09/01/2019 12:00:00 AM,Train Passengers,532,2059
US-Mexico Border,08/01/2019 12:00:00 AM,Personal Vehicle Passengers,23075842,28011764
US-Canada Border,08/01/2019 12:00:00 AM,Personal Vehicle Passengers,13003026,11011333
US-Mexico Border,08/01/2019 12:00:00 AM,Personal Vehicles,12204658,13056988
US-Mexico Border,08/01/2019 12:00:00 AM,Pedestrians,8250414,7405840
US-Canada Border,08/01/2019 12:00:00 AM,Personal Vehicles,6050532,5272920
US-Mexico Border,08/01/2019 12:00:00 AM,Trucks,1099514,802450
US-Canada Border,08/01/2019 12:00:00 AM,Trucks,971594,1019414
US-Mexico Border,08/01/2019 12:00:00 AM,Truck Containers Full,809450,511076
US-Canada Border,08/01/2019 12:00:00 AM,Truck Containers Full,744616,763221
US-Canada Border,08/01/2019 12:00:00 AM,Bus Passengers,502592,530458
US-Mexico Border,08/01/2019 12:00:00 AM,Bus Passengers,458766,486183
US-Canada Border,08/01/2019 12:00:00 AM,Rail Containers Full,331802,219736
US-Mexico Border,08/01/2019 12:00:00 AM,Truck Containers Empty,305462,282522
US-Canada Border,08/01/2019 12:00:00 AM,Truck Containers Empty,255032,177764
US-Canada Border,08/01/2019 12:00:00 AM,Pedestrians,180042,93320
US-Canada Border,08/01/2019 12:00:00 AM,Rail Containers Empty,138554,89078
US-Mexico Border,08/01/2019 12:00:00 AM,Rail Containers Empty,109296,63575
US-Canada Border,08/01/2019 12:00:00 AM,Train Passengers,89138,42727
US-Mexico Border,08/01/2019 12:00:00 AM,Rail Containers Full,87680,56549
US-Mexico Border,08/01/2019 12:00:00 AM,Buses,26122,38882
US-Canada Border,08/01/2019 12:00:00 AM,Buses,22252,22087
US-Canada Border,08/01/2019 12:00:00 AM,Trains,3920,4995
US-Mexico Border,08/01/2019 12:00:00 AM,Trains,2106,1461
US-Mexico Border,08/01/2019 12:00:00 AM,Train Passengers,1876,2059
US-Mexico Border,07/01/2019 12:00:00 AM,Personal Vehicle Passengers,23254826,28028632
US-Canada Border,07/01/2019 12:00:00 AM,Personal Vehicle Passengers,12134522,11007350
US-Mexico Border,07/01/2019 12:00:00 AM,Personal Vehicles,12038026,13060601
US-Mexico Border,07/01/2019 12:00:00 AM,Pedestrians,8687346,7401296
US-Canada Border,07/01/2019 12:00:00 AM,Personal Vehicles,5773404,5271145
US-Mexico Border,07/01/2019 12:00:00 AM,Trucks,1104984,801377
US-Canada Border,07/01/2019 12:00:00 AM,Trucks,957534,1019633
US-Mexico Border,07/01/2019 12:00:00 AM,Truck Containers Full,802230,510043
US-Canada Border,07/01/2019 12:00:00 AM,Truck Containers Full,737094,763313
US-Mexico Border,07/01/2019 12:00:00 AM,Bus Passengers,494140,486155
US-Canada Border,07/01/2019 12:00:00 AM,Bus Passengers,439008,530783
US-Canada Border,07/01/2019 12:00:00 AM,Rail Containers Full,321076,219377
US-Mexico Border,07/01/2019 12:00:00 AM,Truck Containers Empty,314312,282409
US-Canada Border,07/01/2019 12:00:00 AM,Truck Containers Empty,241906,177536
US-Canada Border,07/01/2019 12:00:00 AM,Pedestrians,175428,93029
US-Canada Border,07/01/2019 12:00:00 AM,Rail Containers Empty,137850,88905
US-Mexico Border,07/01/2019 12:00:00 AM,Rail Containers Empty,108356,63416
US-Canada Border,07/01/2019 12:00:00 AM,Train Passengers,98108,42531
US-Mexico Border,07/01/2019 12:00:00 AM,Rail Containers Full,84618,56450
US-Mexico Border,07/01/2019 12:00:00 AM,Buses,26690,38926
US-Canada Border,07/01/2019 12:00:00 AM,Buses,19104,22098
US-Canada Border,07/01/2019 12:00:00 AM,Trains,3816,4999
US-Mexico Border,07/01/2019 12:00:00 AM,Trains,2056,1459
US-Mexico Border,07/01/2019 12:00:00 AM,Train Passengers,1742,2060
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,23180006,28045887
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicles,12249600,13063488
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,10815688,11008032
US-Mexico Border,06/01/2019 12:00:00 AM,Pedestrians,7863690,7399650
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,5665762,5269741
US-Mexico Border,06/01/2019 12:00:00 AM,Trucks,1067110,800431
US-Canada Border,06/01/2019 12:00:00 AM,Trucks,971734,1019803
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Full,799280,509014
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,733506,763419
US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,404522,531232
US-Mexico Border,06/01/2019 12:00:00 AM,Bus Passengers,353134,486628
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Full,306412,219067
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Empty,279130,282421
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,258868,177247
US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,133428,92885
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Empty,125088,88776
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Empty,98692,63290
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Full,90182,56330
US-Canada Border,06/01/2019 12:00:00 AM,Train Passengers,88188,42368
US-Mexico Border,06/01/2019 12:00:00 AM,Buses,25958,38972
US-Canada Border,06/01/2019 12:00:00 AM,Buses,17950,22113
US-Canada Border,06/01/2019 12:00:00 AM,Trains,4324,5002
US-Mexico Border,06/01/2019 12:00:00 AM,Trains,1928,1458
US-Mexico Border,06/01/2019 12:00:00 AM,Train Passengers,1702,2062
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,22323110,28066326
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicles,12174014,13066664
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,8418014,11017282
US-Mexico Border,05/01/2019 12:00:00 AM,Pedestrians,8288970,7396474
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicles,4602128,5272125
US-Mexico Border,05/01/2019 12:00:00 AM,Trucks,1153448,799171
US-Canada Border,05/01/2019 12:00:00 AM,Trucks,1014850,1019821
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Full,870982,507721
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Full,770994,763392
US-Canada Border,05/01/2019 12:00:00 AM,Bus Passengers,380356,531771
US-Mexico Border,05/01/2019 12:00:00 AM,Bus Passengers,344962,487134
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Full,319926,218707
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Empty,294518,282377
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Empty,267472,176925
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Empty,123106,88653
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Empty,105268,63140
US-Canada Border,05/01/2019 12:00:00 AM,Pedestrians,101172,92856
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Full,89770,56210
US-Canada Border,05/01/2019 12:00:00 AM,Train Passengers,60076,42305
US-Mexico Border,05/01/2019 12:00:00 AM,Buses,25124,39021
US-Canada Border,05/01/2019 12:00:00 AM,Buses,16348,22133
US-Canada Border,05/01/2019 12:00:00 AM,Trains,4180,5005
US-Mexico Border,05/01/2019 12:00:00 AM,Trains,1974,1456
US-Mexico Border,05/01/2019 12:00:00 AM,Train Passengers,1916,2062
US-Mexico Border,04/01/2019 12:00:00 AM,Personal Vehicle Passengers,21106270,28091272
US-Mexico Border,04/01/2019 12:00:00 AM,Personal Vehicles,11372340,13072737
US-Mexico Border,04/01/2019 12:00:00 AM,Pedestrians,8513606,7392470
US-Canada Border,04/01/2019 12:00:00 AM,Personal Vehicle Passengers,7521290,11029812
US-Canada Border,04/01/2019 12:00:00 AM,Personal Vehicles,4106270,5276304
US-Mexico Border,04/01/2019 12:00:00 AM,Trucks,1048430,798277
US-Canada Border,04/01/2019 12:00:00 AM,Trucks,960954,1020032
US-Mexico Border,04/01/2019 12:00:00 AM,Truck Containers Full,792596,506700
US-Canada Border,04/01/2019 12:00:00 AM,Truck Containers Full,738642,763481
US-Mexico Border,04/01/2019 12:00:00 AM,Bus Passengers,390832,487479
US-Canada Border,04/01/2019 12:00:00 AM,Rail Containers Full,315680,218359
US-Mexico Border,04/01/2019 12:00:00 AM,Truck Containers Empty,268428,282427
US-Canada Border,04/01/2019 12:00:00 AM,Truck Containers Empty,244056,176684
US-Canada Border,04/01/2019 12:00:00 AM,Bus Passengers,240876,532814
US-Canada Border,04/01/2019 12:00:00 AM,Rail Containers Empty,121534,88536
US-Mexico Border,04/01/2019 12:00:00 AM,Rail Containers Empty,101794,63002
US-Mexico Border,04/01/2019 12:00:00 AM,Rail Containers Full,84360,56109
US-Canada Border,04/01/2019 12:00:00 AM,Pedestrians,62408,92965
US-Canada Border,04/01/2019 12:00:00 AM,Train Passengers,26206,42363
US-Mexico Border,04/01/2019 12:00:00 AM,Buses,25644,39069
US-Canada Border,04/01/2019 12:00:00 AM,Buses,10100,22176
US-Canada Border,04/01/2019 12:00:00 AM,Trains,3936,5009
US-Mexico Border,04/01/2019 12:00:00 AM,Trains,1868,1454
US-Mexico Border,04/01/2019 12:00:00 AM,Train Passengers,1714,2063
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,23735670,28106940
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicles,12755420,13073878
US-Mexico Border,03/01/2019 12:00:00 AM,Pedestrians,8457546,7388639
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,7530674,11042399
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,3987040,5280941
US-Mexico Border,03/01/2019 12:00:00 AM,Trucks,1125110,797102
US-Canada Border,03/01/2019 12:00:00 AM,Trucks,976092,1020190
US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Full,828946,505541
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,733396,763589
US-Mexico Border,03/01/2019 12:00:00 AM,Bus Passengers,354652,487957
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Full,320288,217993
US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Empty,310736,282326
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,264504,176368
US-Canada Border,03/01/2019 12:00:00 AM,Bus Passengers,178652,534088
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Empty,129938,88387
US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Empty,90476,62903
US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Full,89738,55988
US-Canada Border,03/01/2019 12:00:00 AM,Pedestrians,37000,93166
US-Canada Border,03/01/2019 12:00:00 AM,Train Passengers,26628,42419
US-Mexico Border,03/01/2019 12:00:00 AM,Buses,26190,39115
US-Canada Border,03/01/2019 12:00:00 AM,Buses,8838,22224
US-Canada Border,03/01/2019 12:00:00 AM,Trains,3890,5013
US-Mexico Border,03/01/2019 12:00:00 AM,Trains,1982,1452
US-Mexico Border,03/01/2019 12:00:00 AM,Train Passengers,1716,2065
US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,20590814,28134074
US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicles,11312638,13080237
US-Mexico Border,02/01/2019 12:00:00 AM,Pedestrians,6832212,7390647
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,5554424,11062211
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicles,3069120,5288926
US-Mexico Border,02/01/2019 12:00:00 AM,Trucks,1025048,796279
US-Canada Border,02/01/2019 12:00:00 AM,Trucks,859626,1020770
US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Full,751376,504654
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Full,647260,764009
US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Empty,285224,282315
US-Mexico Border,02/01/2019 12:00:00 AM,Bus Passengers,251338,488811
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Full,247286,217887
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,231248,176170
US-Canada Border,02/01/2019 12:00:00 AM,Bus Passengers,151480,535469
US-Mexico Border,02/01/2019 12:00:00 AM,Rail Containers Empty,92748,62795
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Empty,88984,88384
US-Mexico Border,02/01/2019 12:00:00 AM,Rail Containers Full,74058,55923
US-Canada Border,02/01/2019 12:00:00 AM,Pedestrians,24018,93416
US-Mexico Border,02/01/2019 12:00:00 AM,Buses,22934,39174
US-Canada Border,02/01/2019 12:00:00 AM,Train Passengers,18554,42505
US-Canada Border,02/01/2019 12:00:00 AM,Buses,7540,22277
US-Canada Border,02/01/2019 12:00:00 AM,Trains,3214,5019
US-Mexico Border,02/01/2019 12:00:00 AM,Trains,1862,1451
US-Mexico Border,02/01/2019 12:00:00 AM,Train Passengers,1632,2066
US-Mexico Border,01/01/2019 12:00:00 AM,Personal Vehicle Passengers,23721134,28150063
US-Mexico Border,01/01/2019 12:00:00 AM,Personal Vehicles,12603544,13081964
US-Mexico Border,01/01/2019 12:00:00 AM,Pedestrians,7788842,7389205
US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicle Passengers,5857960,11081067
US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicles,3291552,5296163
US-Mexico Border,01/01/2019 12:00:00 AM,Trucks,1089806,795215
US-Canada Border,01/01/2019 12:00:00 AM,Trucks,935540,1021079
US-Mexico Border,01/01/2019 12:00:00 AM,Truck Containers Full,790990,503616
US-Canada Border,01/01/2019 12:00:00 AM,Truck Containers Full,708858,764209
US-Mexico Border,01/01/2019 12:00:00 AM,Bus Passengers,391738,489163
US-Mexico Border,01/01/2019 12:00:00 AM,Truck Containers Empty,311564,282209
US-Canada Border,01/01/2019 12:00:00 AM,Rail Containers Full,311320,217548
US-Canada Border,01/01/2019 12:00:00 AM,Truck Containers Empty,248084,175909
US-Canada Border,01/01/2019 12:00:00 AM,Bus Passengers,148224,536872
US-Canada Border,01/01/2019 12:00:00 AM,Rail Containers Empty,115724,88285
US-Mexico Border,01/01/2019 12:00:00 AM,Rail Containers Empty,100822,62657
US-Mexico Border,01/01/2019 12:00:00 AM,Rail Containers Full,64880,55891
US-Canada Border,01/01/2019 12:00:00 AM,Pedestrians,28824,93650
US-Mexico Border,01/01/2019 12:00:00 AM,Buses,26274,39221
US-Canada Border,01/01/2019 12:00:00 AM,Train Passengers,25804,42566
US-Canada Border,01/01/2019 12:00:00 AM,Buses,7806,22330
US-Canada Border,01/01/2019 12:00:00 AM,Trains,4066,5023
US-Mexico Border,01/01/2019 12:00:00 AM,Trains,1988,1449
US-Mexico Border,01/01/2019 12:00:00 AM,Train Passengers,1694,2068
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,24777294,28162327
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,12655194,13083516
US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,8638832,7384661
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,7756104,11093158
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,4010088,5300840
US-Mexico Border,12/01/2018 12:00:00 AM,Trucks,938794,794693
US-Canada Border,12/01/2018 12:00:00 AM,Trucks,821068,1021806
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,643186,503109
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,554836,764970
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,349036,217070
US-Mexico Border,12/01/2018 12:00:00 AM,Bus Passengers,326568,489754
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,295564,282161
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,272756,175557
US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,180592,538167
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,116590,88182
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Empty,104766,62504
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Full,81552,55797
US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,41406,93840
US-Mexico Border,12/01/2018 12:00:00 AM,Buses,28258,39260
US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,25676,42627
US-Canada Border,12/01/2018 12:00:00 AM,Buses,8164,22381
US-Canada Border,12/01/2018 12:00:00 AM,Trains,3992,5026
US-Mexico Border,12/01/2018 12:00:00 AM,Trains,1940,1447
US-Mexico Border,12/01/2018 12:00:00 AM,Train Passengers,1740,2069
US-Mexico Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,22779496,28181973
US-Mexico Border,11/01/2018 12:00:00 AM,Personal Vehicles,12167460,13086859
US-Mexico Border,11/01/2018 12:00:00 AM,Pedestrians,7919902,7382707
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,7046408,11107927
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicles,3867292,5306072
US-Mexico Border,11/01/2018 12:00:00 AM,Trucks,1070834,793685
US-Canada Border,11/01/2018 12:00:00 AM,Trucks,953586,1022055
US-Mexico Border,11/01/2018 12:00:00 AM,Truck Containers Full,780296,502097
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Full,717850,765142
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Full,326648,216670
US-Mexico Border,11/01/2018 12:00:00 AM,Truck Containers Empty,301946,282088
US-Mexico Border,11/01/2018 12:00:00 AM,Bus Passengers,301840,490440
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Empty,255394,175266
US-Canada Border,11/01/2018 12:00:00 AM,Bus Passengers,211212,539361
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Empty,118224,88073
US-Mexico Border,11/01/2018 12:00:00 AM,Rail Containers Empty,109736,62332
US-Mexico Border,11/01/2018 12:00:00 AM,Rail Containers Full,83232,55697
US-Canada Border,11/01/2018 12:00:00 AM,Pedestrians,42580,94027
US-Mexico Border,11/01/2018 12:00:00 AM,Buses,26650,39306
US-Canada Border,11/01/2018 12:00:00 AM,Train Passengers,23440,42697
US-Canada Border,11/01/2018 12:00:00 AM,Buses,9554,22428
US-Canada Border,11/01/2018 12:00:00 AM,Trains,3958,5030
US-Mexico Border,11/01/2018 12:00:00 AM,Train Passengers,2034,2069
US-Mexico Border,11/01/2018 12:00:00 AM,Trains,1940,1445
US-Mexico Border,10/01/2018 12:00:00 AM,Personal Vehicle Passengers,24008334,28197261
US-Mexico Border,10/01/2018 12:00:00 AM,Personal Vehicles,13113038,13086763
US-Canada Border,10/01/2018 12:00:00 AM,Personal Vehicle Passengers,8084292,11119003
US-Mexico Border,10/01/2018 12:00:00 AM,Pedestrians,7793776,7381201
US-Canada Border,10/01/2018 12:00:00 AM,Personal Vehicles,4480302,5309097
US-Mexico Border,10/01/2018 12:00:00 AM,Trucks,1136504,792430
US-Canada Border,10/01/2018 12:00:00 AM,Trucks,1054494,1021936
US-Mexico Border,10/01/2018 12:00:00 AM,Truck Containers Full,831054,500892
US-Canada Border,10/01/2018 12:00:00 AM,Truck Containers Full,796680,765027
US-Canada Border,10/01/2018 12:00:00 AM,Rail Containers Full,335698,216234
US-Mexico Border,10/01/2018 12:00:00 AM,Truck Containers Empty,318738,281954
US-Canada Border,10/01/2018 12:00:00 AM,Bus Passengers,317546,540173
US-Canada Border,10/01/2018 12:00:00 AM,Truck Containers Empty,279144,174885
US-Mexico Border,10/01/2018 12:00:00 AM,Bus Passengers,277378,491221
US-Canada Border,10/01/2018 12:00:00 AM,Rail Containers Empty,126504,87932
US-Mexico Border,10/01/2018 12:00:00 AM,Rail Containers Empty,110178,62157
US-Canada Border,10/01/2018 12:00:00 AM,Pedestrians,102152,93997
US-Mexico Border,10/01/2018 12:00:00 AM,Rail Containers Full,91202,55567
US-Canada Border,10/01/2018 12:00:00 AM,Train Passengers,33234,42732
US-Mexico Border,10/01/2018 12:00:00 AM,Buses,28428,39346
US-Canada Border,10/01/2018 12:00:00 AM,Buses,12718,22464
US-Canada Border,10/01/2018 12:00:00 AM,Trains,4118,5034
US-Mexico Border,10/01/2018 12:00:00 AM,Trains,1998,1443
